run_idx,target_pl_w,cooldown_wait_s,cooldown_end_temp_c,run_samples,temp_avg_all,temp_max,temp_min,power_avg_all,gpu_util_avg_all,mem_util_avg_all,temp_avg_last_window,power_avg_last_window,gpu_util_avg_last_window,end_temp_c
1,150,0.003,44,175,60.4,63,44,139.3865714285714,98.92571428571429,26.634285714285713,62.96666666666667,137.1039,100.0,63
2,175,50.273,48,179,63.960893854748605,66,48,170.4417430167599,98.93296089385476,33.312849162011176,66.0,174.14729999999997,100.0,66
3,200,58.337,48,179,66.41899441340782,69,48,193.6481675977653,98.93854748603351,40.11173184357542,68.81666666666666,197.46565,100.0,69
4,225,66.423,48,179,68.63687150837988,72,48,216.58552513966484,98.94972067039106,42.374301675977655,71.08333333333333,222.4964333333333,100.0,71
5,250,75.451,48,179,70.98882681564245,74,48,240.20610614525125,98.91620111731844,42.47486033519553,73.91666666666667,243.92718333333335,100.0,74
6,275,83.471,48,178,73.29775280898876,77,49,260.73015168539325,98.96067415730337,43.56741573033708,76.4,266.33543333333336,100.0,77
7,300,93.526,48,178,74.79213483146067,79,49,283.7166348314607,98.95505617977528,44.174157303370784,78.3,288.87198333333333,100.0,79
