ts,cycle_idx,compute_actual_ms,sleep_actual_ms,period_actual_ms,cycle_iters
1775322097.0993106,1,30.91389313340187,69.20477095991373,100.1186640933156,9
1775322097.1995327,2,31.496901996433735,68.65403498522937,100.15093698166311,9
1775322097.2997956,3,32.09064598195255,68.04972607642412,100.14037205837667,10
1775322097.4000177,4,33.01246510818601,67.1007668133825,100.11323192156851,10
1775322097.5002935,5,30.115847010165453,70.04092982970178,100.15677683986723,9
1775322097.6005163,6,33.0533180385828,67.09456793032587,100.14788596890867,10
1775322097.7007852,7,30.009354930371046,70.14182605780661,100.15118098817766,9
1775322097.800977,8,32.807083101943135,67.28513701818883,100.09222012013197,10
1775322097.9011984,9,32.91848790831864,67.23286607302725,100.15135398134589,10
1775322098.0014503,10,30.04611493088305,70.08336903527379,100.12948396615684,9
1775322098.1018004,11,30.032701790332794,70.10961207561195,100.14231386594474,9
1775322098.2019973,12,33.08403491973877,67.03230692073703,100.1163418404758,10
1775322098.302282,13,33.16572098992765,67.00771697796881,100.17343796789646,10
1775322098.4024296,14,32.804933143779635,67.30327801778913,100.10821116156876,10
1775322098.5026252,15,32.905244966968894,67.24393996410072,100.14918493106961,10
1775322098.6028194,16,30.11160809546709,69.96537302620709,100.07698112167418,9
1775322098.7029898,17,32.73363201878965,67.37880199216306,100.11243401095271,10
1775322098.803256,18,33.128353068605065,67.01819994486868,100.14655301347375,10
1775322098.903536,19,30.09772184304893,70.05715509876609,100.15487694181502,9
1775322099.003712,20,30.010832007974386,70.04414801485837,100.05498002283275,9
1775322099.1040876,21,30.043349834159017,70.10646117851138,100.1498110126704,9
1775322099.2042866,22,32.764139119535685,67.37924180924892,100.14338092878461,10
1775322099.3045588,23,30.03582707606256,70.11653203517199,100.15235911123455,9
1775322099.4048066,24,33.202122896909714,66.92903419025242,100.13115708716214,10
1775322099.5050066,25,33.09651208110154,67.01857293955982,100.11508502066135,10
1775322099.6052852,26,33.30749785527587,66.84505706652999,100.15255492180586,10
1775322099.7055557,27,30.00272694043815,70.14863612130284,100.151363061741,9
1775322099.805828,28,30.159866902977228,69.9961029458791,100.15596984885633,9
1775322099.9061034,29,30.086155980825424,70.06908603943884,100.15524202026427,9
1775322100.0062623,30,30.17676784656942,69.86869615502656,100.04546400159597,9
1775322100.1064796,31,32.671468099579215,67.47283693403006,100.14430503360927,10
1775322100.2066913,32,32.97569206915796,67.16821994632483,100.14391201548278,10
1775322100.3069332,33,30.03067709505558,70.07834501564503,100.10902211070061,9
1775322100.4072082,34,31.008091988041997,69.13454295136034,100.14263493940234,9
