ts,elapsed_s,target_c,phase,temp_c,temp_avg_3s,power_w,power_limit_w,gpu_util_percent,mem_util_percent,fan_percent,graphics_clock_mhz,mem_clock_mhz,controller_pl_w,controller_mode,decision_action,in_band_consecutive_s
1775289935.2989209,0.0,60,warmup,39,39.0,11.977,150.0,6,3,0,139,405,150,mid,INIT,0
1775289936.305016,1.003,60,warmup,39,39.0,10.808,150.0,7,3,0,139,405,150,mid,INIT,0
1775289937.3079555,2.009,60,warmup,45,41.0,154.299,150.0,100,27,0,1113,5005,160,mid,PL+10,0
1775289938.4529753,3.154,60,warmup,46,43.333,62.715,160.0,100,30,0,1265,5005,170,mid,PL+10,0
1775289939.5269227,4.228,60,warmup,47,46.0,173.016,170.0,100,34,0,1379,5005,180,mid,PL+10,0
1775289940.5839803,5.285,60,warmup,48,47.0,180.417,180.0,100,37,0,1493,5005,190,mid,PL+10,0
1775289941.6688612,6.37,60,warmup,49,48.0,183.801,190.0,100,42,0,1556,5005,200,mid,PL+10,0
1775289942.7198963,7.421,60,warmup,50,49.0,204.628,200.0,100,40,0,1594,5005,210,mid,PL+10,0
1775289943.7819114,8.483,60,warmup,51,50.0,198.895,210.0,100,41,0,1607,5005,220,mid,PL+10,0
1775289944.8339593,9.535,60,warmup,52,51.0,219.71,220.0,100,42,0,1657,5005,230,mid,PL+10,0
1775289945.9090087,10.61,60,warmup,53,52.0,234.401,230.0,100,45,0,1683,5005,240,mid,PL+10,0
1775289946.96086,11.662,60,warmup,54,53.0,237.276,240.0,100,44,0,1695,5005,250,mid,PL+10,0
1775289948.0189478,12.72,60,hold,56,54.333,253.866,250.0,100,45,0,1733,5005,260,mid,PL+10,1
1775289949.0715835,13.773,60,hold,56,55.333,258.931,260.0,100,43,0,1759,5005,265,mid,PL+5,2
1775289950.121941,14.823,60,hold,57,56.333,197.302,265.0,100,45,6,1759,5005,270,mid,PL+5,3
1775289951.1739109,15.875,60,hold,58,57.0,273.634,270.0,100,43,12,1771,5005,275,mid,PL+5,4
1775289952.2159185,16.917,60,hold,59,58.0,280.091,275.0,100,44,14,1784,5005,275,mid,HOLD_STABLE,5
1775289953.2209926,17.922,60,hold,59,58.667,286.012,275.0,100,45,14,1784,5005,275,mid,HOLD_STABLE,6
