ts,temp_c,power_w,power_limit_w,gpu_util_percent,mem_util_percent,fan_percent,graphics_clock_mhz,mem_clock_mhz
1775283563.258985,69,250.928,250.0,100,46,43,1695,5005
1775283564.2788198,69,252.588,250.0,100,47,43,1695,5005
1775283565.2838142,69,250.886,250.0,100,45,43,1695,5005
1775283566.286755,69,240.923,250.0,100,46,43,1683,5005
1775283567.2898,69,247.422,250.0,100,44,44,1695,5005
1775283568.300815,69,244.894,250.0,100,45,44,1683,5005
1775283569.3118074,69,244.797,250.0,100,44,44,1695,5005
1775283570.3198314,69,252.974,250.0,100,45,44,1695,5005
1775283571.3258116,70,253.725,250.0,100,44,45,1695,5005
1775283572.3377988,70,253.565,250.0,100,45,45,1695,5005
1775283573.3417954,70,251.872,250.0,100,46,45,1695,5005
1775283574.3538315,70,250.743,250.0,100,43,45,1695,5005
1775283575.3628218,70,254.122,250.0,100,42,45,1695,5005
1775283576.3658133,70,241.984,250.0,100,44,46,1670,5005
1775283577.3688147,70,254.421,250.0,100,40,45,1695,5005
1775283578.3777974,70,256.939,250.0,100,46,45,1695,5005
1775283579.3888,70,248.214,250.0,100,43,46,1695,5005
1775283580.3938076,70,254.11,250.0,100,45,46,1695,5005
1775283581.396799,70,252.685,250.0,100,41,46,1695,5005
1775283582.400403,70,260.217,250.0,100,44,46,1695,5005
1775283583.4088202,70,249.64,250.0,100,45,46,1683,5005
1775283584.416781,70,245.624,250.0,100,44,46,1695,5005
1775283585.4228125,70,253.993,250.0,100,42,46,1683,5005
1775283586.4258153,70,257.957,250.0,100,41,47,1695,5005
1775283587.4288123,70,244.295,250.0,100,44,47,1670,5005
1775283588.4318237,70,255.782,250.0,100,44,47,1721,5005
1775283589.434804,70,242.213,250.0,100,42,47,1670,5005
1775283590.4378145,70,247.67,250.0,100,41,47,1695,5005
1775283591.4408126,71,246.203,250.0,100,42,47,1695,5005
1775283592.4518027,70,253.842,250.0,100,43,47,1695,5005
1775283593.461802,71,251.616,250.0,100,46,47,1695,5005
1775283594.471756,71,251.272,250.0,100,39,47,1695,5005
1775283595.4778152,70,244.65,250.0,100,42,47,1695,5005
1775283596.4838064,71,251.603,250.0,100,43,47,1695,5005
1775283597.4868195,71,109.832,250.0,100,46,48,1683,5005
1775283598.5128112,71,244.528,250.0,100,41,48,1695,5005
1775283599.5143511,71,232.722,250.0,100,43,48,1670,5005
1775283600.5188336,71,244.391,250.0,100,42,48,1695,5005
1775283601.5288115,71,251.251,250.0,100,43,48,1695,5005
1775283602.5367897,71,252.45,250.0,100,44,48,1695,5005
1775283603.544757,71,252.14,250.0,100,47,48,1695,5005
1775283604.5557566,71,252.161,250.0,100,43,49,1695,5005
1775283605.566817,71,242.832,250.0,100,46,49,1683,5005
1775283606.5738187,71,250.446,250.0,100,40,49,1683,5005
1775283607.5767555,71,250.177,250.0,100,45,49,1683,5005
1775283608.579831,71,245.995,250.0,100,43,49,1683,5005
1775283609.583013,71,242.675,250.0,100,46,49,1683,5005
1775283610.589815,71,253.746,250.0,100,46,49,1695,5005
1775283611.5968044,71,249.502,250.0,100,43,49,1683,5005
1775283612.5998294,71,246.761,250.0,100,44,50,1683,5005
1775283613.6058166,71,255.578,250.0,100,43,49,1695,5005
1775283614.6308217,71,252.505,250.0,100,40,49,1695,5005
1775283615.6428201,71,247.559,250.0,100,45,49,1695,5005
1775283616.6495736,71,250.852,250.0,100,42,50,1683,5005
1775283617.6763737,71,249.523,250.0,100,43,50,1683,5005
1775283618.681789,71,250.832,250.0,100,43,50,1683,5005
1775283619.6918833,71,251.217,250.0,100,48,50,1695,5005
1775283620.6948583,67,84.492,250.0,1,0,51,1911,5508
1775283621.7028675,66,83.453,250.0,1,0,51,1911,5508
